,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Water Treatment Plant (WTP) Motor  List,,,,,,,,,,,,,
,No.,Process related identifcation,,,Location identification,,Equipment identification,,,,,,,
,,KKS Number, Equipment Description, System,Location / Plant Area,Mouunting / Elevation,Manufacturer,Serial No. /Manufacturer Part No.,Type/Model,Technical Specification,Additional Specifications,Unit,Quantity,P&ID Number / Drawing Number
,1,10GAF90AP001M01,Feed Water Pump For Filter A,GAF,Water Treatment Plant Pumps Room,0.00MEL,SIEMENS,"
1807/800017707585/001","0CV3204A
","30kW, 400V, 50Hz, 52A, 2955RPM, cosɸ 0.89, EFF. 93.3%, EFF. Cl. IE3, Th. Cl. 155(F), IMB3, IP55, SF 1.15, 200L, 250kg, ","Bearing :  DE 6212 Z C3,  NDE 6212 Z C3",SET,1,APCOD-1-DW-WW-GAD-302-010-S001
,2,10GAF91AP001M01,Feed Water Pump For Filter B,GAF,Water Treatment Plant Pumps Room,0.00MEL,SIEMENS,"
1807/800017707585/002"," 0CV3204A
","30kW, 400V, 50Hz, 52A, 2955RPM, cosɸ 0.89, EFF. 93.3%, EFF. Cl. IE3, Th. Cl. 155(F), IMB3, IP55, SF 1.15, 200L, 250kg, ","Bearing :  DE 6212 Z C3,  NDE 6212 Z C3",SET,1,APCOD-1-DW-WW-GAD-302-010-S001
,3,10GBP11AP001M01,Filter Backwash Water Pump A,GBP,Water Treatment Plant Pumps Room,0.00MEL,SIEMENS,"
1808/800017835870/001","0CV3205A
","37kW, 400V, 50Hz, 64A, 2955RPM, cosɸ 0.89, EFF. 93.7%, EFF. Cl. IE3, Th. Cl. 155(F), IMB3, IP55, SF 1.15, 200L, 260kg, ","Bearing :  DE 6212 Z C3,  NDE 6212 Z C3",SET,1,DV-KBE2-WT-001-GBP-04
,4,10GBP12AP001M01,Filter Backwash Water Pump B,GBP,Water Treatment Plant Pumps Room,0.00MEL,SIEMENS,"
1808/800017835870/002","0CV3205A
","37kW, 400V, 50Hz, 64A, 2955RPM, cosɸ 0.89, EFF. 93.7%, EFF. Cl. IE3, Th. Cl. 155(F), IMB3, IP55, SF 1.15, 200L, 260kg, ","Bearing :  DE 6212 Z C3,  NDE 6212 Z C3",SET,1,DV-KBE2-WT-001-GBP-04
,5,10GCK21AP001M01,UF Backwash Water Pump A,GCK,Water Treatment Plant Pumps Room,0.00MEL,SIEMENS,"
1807/800017707515/004"," 0CV3163A
","15kW, 400V, 50Hz, 26.5A, 2930RPM, cosɸ 0.89, EFF. 91.9%, EFF. Cl. IE3, Th. Cl. 155(F), IMB3, IP55, SF 1.15, 160M, 107kg, ","Bearing :  DE 6209 2Z C3,  NDE 6209 2Z C3",SET,1,DV-KBE2-WT-001-GCK-14
,6,10GCK22AP001M01,UF Backwash Water Pump B,GCK,Water Treatment Plant Pumps Room,0.00MEL,SIEMENS,"
1807/800017707515/005"," 0CV3163A
","15kW, 400V, 50Hz, 26.5A, 2930RPM, cosɸ 0.89, EFF. 91.9%, EFF. Cl. IE3, Th. Cl. 155(F), IMB3, IP55, SF 1.15, 160M, 107kg, ","Bearing :  DE 6209 2Z C3,  NDE 6209 2Z C3",SET,1,DV-KBE2-WT-001-GCK-14
,7,10GCK23AP001M01,RO Booster Pump A,GCK,Water Treatment Plant Pumps Room,0.00MEL,SIEMENS,"
1807/800017707515/002","0CV3163A
","15kW, 400V, 50Hz, 26.5A, 2930RPM, cosɸ 0.89, EFF. 91.9%, EFF. Cl. IE3, Th. Cl. 155(F), IMB3, IP55, SF 1.15, 160M, 107kg, ","Bearing :  DE 6209 2Z C3,  NDE 6209 2Z C3",SET,1,DV-KBE2-WT-001-GCK-14
,8,10GCK24AP001M01,RO Booster Pump B,GCK,Water Treatment Plant Pumps Room,0.00MEL,SIEMENS,"
1807/800017707515/001","0CV3163A
","15kW, 400V, 50Hz, 26.5A, 2930RPM, cosɸ 0.89, EFF. 91.9%, EFF. Cl. IE3, Th. Cl. 155(F), IMB3, IP55, SF 1.15, 160M, 107kg, ","Bearing :  DE 6209 2Z C3,  NDE 6209 2Z C3",SET,1,DV-KBE2-WT-001-GCK-14
,9,10GCP12AP001M01,Anion & Cation Exchanger Regeneration Pump A,GCP,Water Treatment Plant Pumps Room,0.00MEL,SIEMENS,"
 1807/800017707492/003"," 0CV3130A
","5.5kW, 400V, 50Hz, 10A, 2930RPM, cosɸ 0.89, EFF. 89.2%, EFF. Cl. IE3, Th. Cl. 155(F), IMB3, IP55, SF 1.15, 132S, 64kg, ","Bearing :  DE 6208 2Z C3,  NDE 6208 2Z C3",SET,1,DV-KBE2-WT-001-GHC-22
,10,10GCP13AP001M01,Anion & Cation Exchanger Regeneration Pump B,GCP,Water Treatment Plant Pumps Room,0.00MEL,SIEMENS,"
1807/800017707492/004"," 0CV3130A
","5.5kW, 400V, 50Hz, 10A, 2930RPM, cosɸ 0.89, EFF. 89.2%, EFF. Cl. IE3, Th. Cl. 155(F), IMB3, IP55, SF 1.15, 132S, 64kg, ","Bearing :  DE 6208 2Z C3,  NDE 6208 2Z C3",SET,1,DV-KBE2-WT-001-GHC-22
,11,10GCP14AP001M01,Mixed Bed Exchanger Regeneration Pump A,GCP,Water Treatment Plant Pumps Room,0.00MEL,SIEMENS,"
1807/800017707480/001","0CV3104A
","3kW, 400V, 50Hz, 5.7A, 2875RPM, cosɸ 0.87, EFF. 87.1%, EFF. Cl. IE3, Th. Cl. 155(F), IMB3, IP55, SF 1.15, 100L, 39kg, ","Bearing :  DE 6206 2Z C3,  NDE 6206 2Z C3",SET,1,DV-KBE2-WT-001-GHC-22
,12,10GCP15AP001M01,Mixed Bed Exchanger Regeneration Pump B,GCP,Water Treatment Plant Pumps Room,0.00MEL,SIEMENS,"
 1807/800017707480/002","0CV3104A
","3kW, 400V, 50Hz, 5.7A, 2875RPM, cosɸ 0.87, EFF. 87.1%, EFF. Cl. IE3, Th. Cl. 155(F), IMB3, IP55, SF 1.15, 100L, 39kg, ","Bearing :  DE 6206 2Z C3,  NDE 6206 2Z C3",SET,1,DV-KBE2-WT-001-GHC-22
